,,,,,
,,,,,
,ID,Centro de Reciclaje,Ubicación,Teléfono,Materiales que Aceptan
,91,Grupo Constructo Hachi,"Pto. Savona 7, Ejidos de San Juan de Aragón, Gustavo A. Madero",1019 0924,Residuos de la construcción
,92,"Aseca, S.A. de C.V.","Av. Presidente Juárez 2022, Los Reyes Iztacala, Tlalnepantla",1665 9242,Residuos de la construcción
,93,Suministros para la Construcción y Vivienda,"Calle 16 Mz 47 Lt 480, Leyes de Reforma 2da Secc, Iztapalapa",5600 0237,Residuos de la construcción
,94,Arturo Medrano Mancilla,"Carretera Picacho-Ajusco Mz 17 Lt 114, Cruz del Farol, Tlalpan",5525 1508,Residuos de la construcción
,95,Vicente Gómez Luna,"Calle 29 Mz 60 Lt 621-B, Leyes de Reforma, Iztapalapa",5600 0237,Residuos de la construcción
,96,BCC Consultor y Constructor,Estado de México,3146 7560,Residuos de la construcción
,97,Unión de Transportistas,"General Sostenes Rocha 111, Daniel Garza, Miguel Hidalgo",4063 8383,Residuos de la construcción
,98,Ecolomovil,"Hidalgo 122, San Pedro Xalpa / Pantaco",5383 6502,"Desechos electrónicos, papel, metales, vidrio, tetrapack"
,99,Proambi,"Poniente 146 núm. 710 A, Industrial Vallejo, Azcapotzalco",01 800 112 2227,Desechos electrónicos
,100,In Cycle Electronics,"Azafran 475, Granjas México, Iztacalco",5763 9651,"Electrónicos, electrodomésticos, telecomunicaciones"
,101,TBS Industries,"Av. Industrial 181 D, Los Reyes Iztacala, Tlalnepantla",5390 4137,Residuos electrónicos
,102,REMSA,Evento Itinerante,No disponible,Desechos electrónicos
,103,Recicladora EcoAzteca,"Avena 216, Granjas México / Sur 29, Leyes de Reforma",5646 4018,"Informática, electrónicos, metales, plástico"
,104,Nokia / Amigos del Medio Ambiente,"Av. Prolongación San Antonio 390, Minas de Cristo",5598 2222,"Celulares, electrónicos, metales, papel, cartón"
,105,Centros de Reciclaje Recupera,"Varias sucursales (San Pedro de los Pinos, Tacubaya, Del Valle, Walmart)",5661 1776,"Electrónicos, tetrapack, papel, vidrio, pilas"
,106,Reciclatrón (SEDEMA),Evento mensual e itinerante en la CDMX,No disponible,"Desechos electrónicos, radiografías, CD's"
,107,Reciclajeraee,"Carretera Estatal Libre Atizapán Jilotepec Km 38.5, Chapa de Mota",5434 0822,Residuos electrónicos
,108,Reciclemos Juntos,"Jaime Torres Bodet 72, Santa María la Ribera",5547 2647,"Electrónicos, papel, cartón, baterías, PET"
,109,Recuperaciones Tinajero,"Calle 6 Mz 6 Lote 23, Purísima 1, Iztapalapa",5691 0066,"Electrónicos, muebles usados"
,110,On Site Destruction México,"Poniente 150 No. 677 a, Industrial Vallejo, Azcapotzalco",5356 9653,"Electrónicos, papel, plásticos, metales, vidrio"
,111,E-Waste Solutions,"Doctor Ruiz No. 25, Doctores, Cuauhtémoc",4380 9054,Desechos electrónicos
,112,The Junior League of México City,"Platón 211, Polanco, Miguel Hidalgo",5395 5088,Envases tetrapack
,113,Química Wimer,"Tecamazúchitl s/n, Ampliación Santa Catarina, Valle de Chalco",5860 1657,"Tetrapack, focos, pintura, vidrio, metales, plástico"
,114,BasuraCero,"Ciprés 377-B, Atlampa, Cuauhtémoc",2630 3255,"Tetrapack, papel, envases multicapa, PET"
,115,Centros de Control Canino / Antirrábicos,Múltiples delegaciones CDMX y Edo. Méx.,No disponible,Incineración de mascotas
,116,Facultad de Medicina Veterinaria UNAM,Campus Ciudad Universitaria,No disponible,Incineración de mascotas
,117,Eco Fibras Ponderosa,"Calzada San Isidro 206, San Antonio, Azcapotzalco",5352 9026,Papel y cartón
,118,Alcamare,"Varias sucursales (Roma, Tabacalera, Iztapalapa, Azcapotzalco)",5553 9918,"Papel, cartón, plástico, metales, vidrio"
,119,Bodegas Estrella,"Providencia 89, Los Olivos, Tláhuac",5846 1500,"Papel, cartón y periódico"
,120,Reciclomex / Recicladora MS / Recicla Ortiz / ETMA,Varias sucursales,5543 4741,"Papel, cartón, archivo muerto, metales, plástico"
,121,Servicios para Reciclar,"Av. Universidad 1619, Coyoacán",5554 9639,"Papel, metales, PET, vidrio"
,122,ECOCE,"Moliere 39, Polanco, Miguel Hidalgo",5281 2264,"Papel, cartón, latas, plástico, metales"
,123,Palsan,"Pedro Aceves Mz 30 Lt 9, Santa Martha Acatitla, Iztapalapa",5733 1407,"Papel, cartón, madera, plásticos, vidrio"
,124,Bio Pappel,"Poniente 140 No 540, Industrial Vallejo, Azcapotzalco",5352 3065,"Cartón, papel, aluminio, plásticos"
,125,Grupo BENJ,"Felipe Ángeles No 1, San Juan Aragón, Gustavo A. Madero",5760 7963,"Cartón, papel, latas, vidrio, plásticos"
,126,Comercializadora de SBR,"Poniente 9, Mz 10, Lt 8, Gustavo A. Madero",5794 8759,Llantas usadas
,127,Manejo Responsable de Llantas Usadas,"Manuel María Contreras 133, Cuauhtémoc",5166 6199,Llantas usadas
,128,Recicladora Pichardo / Roberto Herrera,"Cerro de las Campanas 20, Iztapalapa / Mpio. Huehuetoca",7045 4613,Llantas usadas
,129,Pedro Vivas Mora,"Mayas s/n, Coyoacán",4984 9334,Llantas usadas
,130,SINGREM,Contenedores en farmacias (Todo México),01 800 746 4736,Medicamentos caducos
,131,Comercial de Desechos,"4 de diciembre 1591, Leyes de Reforma, Iztapalapa",5604 7374,"Metales, aluminio, cobre"
,132,Aceros Talisman,"Av. 510 núm. 422, Morelos, Gustavo A. Madero",5760 4935,Metales ferrosos y no ferrosos
,133,Paca y Fierro el Hormiguero,"Calzada la Villa 150, San Marcos, Azcapotzalco",5561 9804,Lámina y metales
,134,Metales de Satélite / Ferrotermo,"Emiliano Zapata 18, Tlalnepantla / Carretera Texcoco",4600 9015,"Metales, fierro, aluminio, chatarra automotriz"
